iter,objective,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,status
1,3.0752807572503054,2.801257409268016,4.951186597364755,1.0,1.0,False,0.0,0.0,running
2,4.892819166777349,1.2397304616839704,0.954344448832084,1.0,1.0,False,0.0,0.0,running
3,4.483089230808719,0.6200691014413819,0.1826828980647653,1.0,1.0,False,0.0,0.0,running
4,4.252527672018232,0.32292985944670866,0.12653139664947535,1.0,1.0,False,0.0,0.0,running
5,4.299494500341234,0.2192885999440385,0.14240123040406935,1.0,1.0,False,0.0,0.0,running
6,4.348974861937818,0.1610163357853908,0.11628295960755694,1.0,1.0,False,0.0,0.0,running
7,4.392306440803269,0.13130664737442502,0.0857420305931106,1.0,1.0,False,0.0,0.0,running
8,4.430113436662886,0.1124292597391328,0.06606934392475178,1.0,1.0,False,0.0,0.0,running
9,4.464120557118102,0.09612870383245435,0.05489811979557142,1.0,1.0,False,0.0,0.0,running
10,4.485471310768989,0.08382514892932443,0.04217064176611808,1.0,1.0,False,0.0,0.0,running
11,4.509394536287748,0.07270647028784114,0.039621248589171806,1.0,1.0,False,0.0,0.0,running
12,4.5258172489401325,0.06257645704447566,0.036965086610792536,1.0,1.0,False,0.0,0.0,running
13,4.537551827188062,0.055063211454980165,0.030501130552949438,1.0,1.0,False,0.0,0.0,running
14,4.546412556425424,0.04981290218548002,0.023536203860319793,1.0,1.0,False,0.0,0.0,running
15,4.554653277591116,0.04537444737680692,0.018634235655413237,1.0,1.0,False,0.0,0.0,running
16,4.562395597160044,0.04123211984726926,0.017358977169054553,1.0,1.0,False,0.0,0.0,running
17,4.569031909378438,0.03733509652053699,0.01616145737921321,1.0,1.0,False,0.0,0.0,running
18,4.57473035285416,0.03367402387818128,0.014082651190337251,1.0,1.0,False,0.0,0.0,running
19,4.581068647353594,0.03022807067566049,0.01488900119442209,1.0,1.0,False,0.0,0.0,running
20,4.584918570959253,0.026869205046233833,0.013239735068294522,1.0,1.0,False,0.0,0.0,running
